150609-150709	-		150709-150724	+		150724-150803	-		150803-150814	+		150814-150826	-		150826-150909	+		150909-150929	-		150929-151026	+		151026-151103	-		151103-151109	+		151109-151130	-		151130-151223	+		151223-160127	-		160127-160222	+		160222-160229	-		160229-160229	*		
多元金融	-40.82	m	日用化工	12.63	m	电气设备	-14.11	m	广告包装	10.44	m	通信设备	-30.27	m	广告包装	5.21	m	房地产	-7.34	m	建材	11.92	m	钢铁	-4.61	m	造纸	7.86	m	沪深300	-7.13	0	广告包装	2.84	m	通用机械	-30.5	m	家居用品	8.52	m	半导体	-14.36	m	运输服务	-52.36	m	
互联网	-40.87	m	汽车类	12.14	m	半导体	-14.2	m	互联网	10.29	m	半导体	-30.81	m	仓储物流	4.87	m	通信设备	-7.47	m	交通设施	11.03	m	商业连锁	-4.65	m	公共交通	7.82	m	仓储物流	-7.38	m	酒店餐饮	2.49	m	工业机械	-30.77	m	工程机械	8.44	m	通信设备	-14.49	m	通用机械	-52.43	m	
综合类	-40.87	m	家用电器	12.07	m	互联网	-14.4	m	运输服务	10.23	m	矿物制品	-30.86	m	家用电器	4.42	m	水务	-7.65	m	广告包装	11.02	m	石油	-4.68	m	运输服务	7.79	m	多元金融	-7.46	m	运输设备	2.35	m	日用化工	-30.95	m	保险	8.05	m	医疗保健	-14.55	m	钢铁	-52.51	m	
环境保护	-40.96	m	建筑	11.98	m	元器件	-14.89	m	钢铁	9.95	m	软件服务	-31.09	m	IT设备	4.29	m	船舶	-7.84	m	文教休闲	11.0	m	通信设备	-4.84	m	航空	7.67	m	煤炭	-7.71	m	石油	2.34	m	软件服务	-31.17	m	航空	7.97	m	日用化工	-14.95	m	供气供热	-52.73	m	
半导体	-41.25	m	互联网	11.17	m	运输设备	-14.96	m	医药	9.06	m	旅游	-31.19	m	家居用品	4.17	m	运输设备	-8.42	m	保险	10.87	m	半导体	-4.94	m	医药	7.62	m	交通设施	-8.22	m	环境保护	1.87	m	船舶	-31.4	m	沪深300	6.43	0	文教休闲	-14.98	m	航空	-53.19	m	
通用机械	-41.4	mm	钢铁	9.96	m	日用化工	-15.13	mm	电器仪表	8.56	m	工程机械	-31.97	mm	化纤	4.03	mm	半导体	-9.48	mm	日用化工	10.69	mm	工业机械	-5.13	mm	综合类	7.49	mm	航空	-8.55	mm	建筑	1.85	mm	广告包装	-32.4	mm	家用电器	6.07	mm	航空	-15.03	mm	电气设备	-53.49	mm	
通信设备	-41.93	mm	电信运营	9.52	m	商贸代理	-15.26	mm	运输设备	8.47	m	运输设备	-32.94	mm	商贸代理	3.92	mm	航空	-9.49	mm	家居用品	10.6	mm	运输设备	-5.63	mm	商业连锁	7.35	mm	石油	-8.6	mm	电力	1.39	mm	电信运营	-32.47	mm	电力	6.02	mm	仓储物流	-15.09	mm	建筑	-54.98	mm	
有色	-42.78	mm	煤炭	9.45	m	船舶	-15.28	mm	家居用品	8.42	m	公共交通	-33.03	mm	通用机械	3.44	mm	证券	-9.62	mm	电力	10.48	mm	电气设备	-5.65	mm	水务	7.2	mm	运输服务	-8.85	mm	造纸	1.34	mm	综合类	-32.63	mm	运输设备	5.4	mm	元器件	-15.3	mm	电信运营	-55.26	mm	
软件服务	-42.81	mm	沪深300	7.15	0	航空	-15.53	mm	家用电器	8.13	m	建筑	-33.11	mm	半导体	3.27	mm	煤炭	-10.24	mm	钢铁	10.32	mm	仓储物流	-5.69	mm	食品饮料	7.15	mm	保险	-9.19	mm	半导体	1.27	mm	公共交通	-33.02	mm	交通设施	4.98	mm	互联网	-15.44	mm	多元金融	-55.97	mm	
航空	-46.07	mm	运输设备	7.09	mm	矿物制品	-16.92	mm	沪深300	6.38	0	水务	-33.13	mm	航空	2.61	mm	化纤	-10.81	mm	食品饮料	9.94	mm	工程机械	-5.72	mm	商贸代理	6.55	mm	电信运营	-9.55	mm	互联网	1.05	mm	多元金融	-33.13	mm	酿酒	4.58	mm	工业机械	-15.81	mm	仓储物流	-56.18	mm	
商贸代理	-46.56	mm	石油	5.62	mm	医疗保健	-16.96	mm	证券	5.91	mm	煤炭	-33.31	mm	造纸	2.38	mm	多元金融	-11.05	mm	运输服务	9.66	mm	煤炭	-5.78	mm	酿酒	6.48	mm	证券	-9.98	mm	医疗保健	0.78	mm	传媒娱乐	-33.17	mm	石油	4.01	mm	通用机械	-15.98	mm	证券	-56.29	mm	
工程机械	-47.66	mm	酿酒	4.77	mm	通信设备	-17.3	mm	石油	5.23	mm	互联网	-34.44	mm	农林牧渔	2.0	mm	有色	-11.33	mm	旅游	8.95	mm	医疗保健	-5.86	mm	广告包装	6.31	mm	建筑	-9.98	mm	航空	0.19	mm	仓储物流	-33.93	mm	煤炭	3.03	mm	矿物制品	-16.1	mm	软件服务	-57.13	mm	
船舶	-50.3	mm	证券	-1.96	mm	公共交通	-19.88	mm	酿酒	2.84	mm	航空	-35.85	mm	食品饮料	1.36	mm	家用电器	-11.53	mm	石油	8.5	mm	矿物制品	-6.1	mm	日用化工	6.27	mm	运输设备	-10.05	mm	仓储物流	-0.69	mm	运输服务	-34.12	mm	钢铁	2.49	mm	广告包装	-16.28	mm	工程机械	-60.24	mm	
矿物制品	-52.17	mm	保险	-7.6	mm	软件服务	-20.15	mm	保险	-0.93	mm	证券	-36.36	mm	文教休闲	1.22	mm	电力	-12.89	mm	银行	5.96	mm	电信运营	-6.54	mm	家居用品	5.82	mm	船舶	-12.21	mm	家居用品	-1.03	mm	证券	-34.81	mm	船舶	2.45	mm	传媒娱乐	-17.08	mm	运输设备	-65.4	mm	
公共交通	-55.3	mm	银行	-7.87	mm	石油	-20.75	mm	银行	-1.94	mm	船舶	-37.49	mm	酒店餐饮	-0.43	mm	钢铁	-14.51	mm	仓储物流	2.06	mm	公共交通	-7.1	mm	农林牧渔	3.85	mm	公共交通	-13.05	mm	船舶	-2.44	mm	矿物制品	-37.83	mm	银行	1.95	mm	软件服务	-18.7	mm	船舶	-67.76	mm	
