102-126	+		126-209	-		209-312	+		312-329	-		329-411	+		411-418	-		418-521	+		521-530	-		530-607	+		607-706	-		706-724	+		724-820	-		820-904	+		904-913	-		913-926	+		926-1019	-		1019-1102	+		1102-1112	-		1112-1119	+		1119-1127	-		1127-1203	+		1203-1210	-		1210-1220	*		当前所有波段涨跌幅度	#2		
文教休闲	-0.71		工业机械	-14.84		交通设施	3.87		银行	-5.15		电气设备	0.72		交通设施	-3.61		通信设备	1.75		有色	-6.64		多元金融	-2.2		运输服务	-15.71		日用化工	4.67		环境保护	-11.02		化工	0.3		元器件	-3.26		日用化工	2.14		通信设备	-14.66		钢铁	7.62		交通设施	1.68		运输服务	4.53		化工	-6.24		建筑	2.57		商业连锁	-0.96		软件服务	-3.93		通信设备	-33.01		
水务	-0.93		通用机械	-15.0		多元金融	3.55		化纤	-5.43		水务	0.7		运输设备	-4.02		软件服务	1.66		工业机械	-6.79		通用机械	-2.28		文教休闲	-15.76		纺织服饰	4.63		通用机械	-11.1		传媒娱乐	0.29		商业连锁	-3.35		文教休闲	2.1		半导体	-14.68		仓储物流	6.77		有色	1.66		电力	4.51		电信运营	-6.44		建材	2.53		证券	-1.13		纺织服饰	-3.95		工业机械	-34.73		
日用化工	-1.23		医疗保健	-15.13		酿酒	3.4		仓储物流	-5.44		酒店餐饮	0.66		环境保护	-4.22		建筑	1.54		建材	-6.8		商贸代理	-2.46		通用机械	-15.89		医疗保健	4.55		医药	-11.17		纺织服饰	0.24		运输服务	-3.45		电信运营	1.97		通用机械	-14.83		煤炭	6.71		仓储物流	1.66		船舶	4.42		煤炭	-6.46		商业连锁	2.25		船舶	-1.16		航空	-4.03		通用机械	-34.75		
综合类	-1.6		通信设备	-15.13		电信运营	3.36		半导体	-5.79		文教休闲	0.6		公共交通	-4.27		有色	1.02		工程机械	-6.84		建筑	-2.56		纺织服饰	-15.95		家用电器	4.48		航空	-11.52		公共交通	0.22		造纸	-3.48		通信设备	1.95		工业机械	-15.3		银行	6.64		电力	1.51		化纤	3.99		软件服务	-6.56		商贸代理	2.23		电信运营	-1.17		酒店餐饮	-4.07		仓储物流	-36.06		
工业机械	-2.04		互联网	-15.24		运输设备	3.03		工程机械	-5.83		电信运营	0.55		有色	-4.33		电气设备	0.9		航空	-6.98		公共交通	-2.75		船舶	-16.25		环境保护	4.11		传媒娱乐	-11.65		交通设施	0.17		互联网	-3.54		综合类	1.93		文教休闲	-15.76		工程机械	6.54		航空	1.21		医药	3.47		矿物制品	-6.6		交通设施	2.21		矿物制品	-1.24		化纤	-4.15		造纸	-36.15		
电气设备	-2.73		农林牧渔	-15.93		运输服务	1.34		汽车类	-6.2		元器件	0.53		房地产	-4.57		综合类	0.87		造纸	-7.46		通信设备	-2.82		电器仪表	-16.64		家居用品	4.03		矿物制品	-11.79		家居用品	-0.25		医疗保健	-4.25		半导体	1.9		酒店餐饮	-15.82		化工	6.34		建筑	0.77		汽车类	3.23		造纸	-6.61		煤炭	2.03		综合类	-1.36		元器件	-4.2		传媒娱乐	-36.49		
矿物制品	-2.83		矿物制品	-16.07		房地产	0.63		酿酒	-6.43		煤炭	0.47		煤炭	-4.68		钢铁	0.61		房地产	-7.53		广告包装	-3.03		运输设备	-16.7		造纸	3.79		家用电器	-12.1		通用机械	-0.65		化纤	-4.48		医药	1.74		造纸	-15.91		船舶	6.31		证券	0.47		食品饮料	3.15		酒店餐饮	-7.07		银行	1.85		房地产	-1.66		互联网	-4.31		有色	-37.92		
供气供热	-2.83		公共交通	-16.45		建筑	-0.09		酒店餐饮	-6.64		电器仪表	0.33		汽车类	-4.96		多元金融	0.6		互联网	-8.01		互联网	-3.3		商贸代理	-16.76		汽车类	3.76		旅游	-12.19		建筑	-0.98		医药	-4.73		环境保护	1.39		电器仪表	-15.92		纺织服饰	6.18		运输设备	0.33		旅游	3.05		IT设备	-7.13		多元金融	1.7		IT设备	-1.92		造纸	-4.33		矿物制品	-38.26		
元器件	-3.21		房地产	-16.87		保险	-0.8		造纸	-6.76		电力	-0.31		电信运营	-4.99		房地产	-0.24		证券	-8.1		工业机械	-3.63		供气供热	-17.68		综合类	3.63		半导体	-12.37		多元金融	-1.35		钢铁	-5.21		元器件	1.34		化纤	-16.18		汽车类	5.84		煤炭	0.01		运输设备	2.72		元器件	-7.25		广告包装	1.66		医疗保健	-1.93		商业连锁	-4.38		元器件	-38.79		
航空	-3.41		电信运营	-17.39		证券	-0.97		钢铁	-6.96		旅游	-0.51		建材	-5.46		互联网	-0.43		石油	-8.33		船舶	-3.78		商业连锁	-18.29		互联网	3.51		电器仪表	-12.5		供气供热	-1.47		酿酒	-5.24		造纸	1.3		矿物制品	-16.6		电力	5.59		保险	-0.01		酿酒	2.5		综合类	-7.45		水务	1.24		保险	-2.39		供气供热	-4.54		互联网	-39.29		
运输设备	-3.67		供气供热	-17.55		船舶	-1.23		运输服务	-7.31		传媒娱乐	-0.63		酒店餐饮	-5.55		元器件	-0.45		电信运营	-8.53		环境保护	-3.79		仓储物流	-18.37		石油	2.73		家居用品	-12.56		仓储物流	-1.48		半导体	-5.96		纺织服饰	1.26		旅游	-16.77		家用电器	5.24		钢铁	-0.09		保险	2.37		互联网	-7.65		房地产	0.51		家用电器	-2.42		通用机械	-4.85		船舶	-39.59		
IT设备	-3.71		综合类	-17.59		钢铁	-2.09		保险	-7.66		环境保护	-0.66		酿酒	-5.74		公共交通	-0.71		环境保护	-9.46		电信运营	-3.87		日用化工	-19.02		医药	2.04		日用化工	-13.47		钢铁	-2.27		家居用品	-6.0		互联网	1.15		商贸代理	-17.19		供气供热	4.37		传媒娱乐	-0.2		钢铁	2.33		多元金融	-7.78		公共交通	0.42		航空	-2.45		半导体	-5.3		综合类	-40.61		
通信设备	-4.27		环境保护	-17.74		石油	-3.19		煤炭	-8.44		运输设备	-0.97		家用电器	-5.94		航空	-1.85		矿物制品	-9.84		运输设备	-4.35		矿物制品	-19.08		传媒娱乐	1.08		酿酒	-13.76		环境保护	-2.55		电器仪表	-6.67		软件服务	1.06		家居用品	-17.32		食品饮料	0.78		酿酒	-0.48		银行	1.31		家居用品	-8.41		钢铁	0.32		仓储物流	-2.61		仓储物流	-5.37		半导体	-41.22		
半导体	-4.35		证券	-18.17		银行	-4.62		家用电器	-8.48		化纤	-1.83		保险	-6.65		广告包装	-2.36		船舶	-9.93		电气设备	-4.63		通信设备	-19.23		多元金融	0.97		医疗保健	-14.91		综合类	-3.42		建材	-7.25		IT设备	0.15		综合类	-17.86		石油	0.22		石油	-0.66		煤炭	0.69		电器仪表	-8.5		仓储物流	0.22		多元金融	-2.81		医疗保健	-8.74		家居用品	-43.76		
环境保护	-4.62		航空	-20.26		煤炭	-6.24		船舶	-11.43		互联网	-2.55		电器仪表	-6.76		船舶	-9.58		煤炭	-10.43		半导体	-6.92		家居用品	-20.16		运输服务	0.11		酒店餐饮	-17.36		日用化工	-5.83		日用化工	-7.31		航空	-0.76		环境保护	-18.73		酿酒	-6.1		银行	-2.76		石油	-1.1		钢铁	-9.05		供气供热	-0.93		医药	-4.5		医药	-8.79		环境保护	-48.45		
